date,engine,language,query_or_axis,status,new_leads,notes
2026-09-14,web,English,"\"Pokémon Scarlet Violet\" GitHub datamine dataset",executed,"general GitHub/datamine leads","Broad discovery query; results individually verified before cataloguing"
2026-09-14,web,English,"\"Pokemon Scarlet Violet\" GitHub trainer encounter data",executed,"trainer/encounter leads","Continue with narrower file/repository queries"
2026-09-14,web,English,"\"Pokemon Scarlet Violet\" GitHub map placement flatbuffer",executed,"scene/placement leads","Led into PokeDocs and scene research cross-checks"
2026-09-14,web,English,"\"Pokemon Scarlet Violet\" GitHub audio BGM hash",executed,"audio/hash leads","PokeDocs Audio Hashlists subsequently enumerated"
2026-09-14,web,English,"\"Pokemon Scarlet Violet\" GitHub raid event data",executed,"raid/event leads","Cross-checked against Tera Finder/RaidCrawler/Event Raid Injector ecosystem"
2026-09-14,web,Japanese,"\"ポケモン スカーレット バイオレット\" GitHub 解析 データ",executed,"Japanese technical discovery axis","Must be repeated with format/system-specific Japanese terms"
2026-09-14,web,Korean,"\"포켓몬 스칼렛 바이올렛\" GitHub 데이터",executed,"Korean public-source discovery axis","Must be repeated with Korean mod/datamine/reverse-engineering terms"
2026-09-14,GitHub,English,"Pokemon Scarlet Violet data",executed,"aria-zivar/Compass_ScVi_Ramblings; additional low-value candidates","Original/fork relationships checked; low-value application-only repos not promoted to core registry"
2026-09-14,GitHub,English,"ProjectSky",executed,"svfeplvce/ProjectSky plus many forks","Canonical original retained; forks only separate if materially divergent"
2026-09-14,dependency-trace,English,"Tera Finder credits/upstreams",executed,"RaidCrawler; sv-live-map; PKHeX; pkNX; SysBot.NET; event group-ID research","Dependency graph treated separately from independent confirmations"
2026-09-14,dependency-trace,English,"PokeDocs/SV Flatbuffers and Hashlists",catalogued,"all currently exposed SV schemas/hashlist directories","Current upstream tree fully inventoried with file/blob SHAs in pokedocs-inventory.json"
2026-09-14,dependency-trace,English,"PKHeX Gen9/SV save tree",catalogued,"21 Gen9/SV substructure files plus SAV9SV/accessor","Current directory tree has truncated=false; file/blob SHAs stored in pkhex-save-structure-inventory.json"
2026-09-14,dependency-trace,English,"Compass ScVi scene documentation",catalogued,"Demystifying_ScVi_Scene_Files.md","Scene/world/object-template/nested-FlatBuffer research registered"
2026-09-14,web+GitHub,English,"versioned Pokémon learnsets Gen IX",catalogued,"Fortelle/pokemon-learnsets","SV 1.0.0/1.0.1/1.2.0/2.0.1/3.0.0 snapshots registered; deep provenance review still pending"
